alpha_best_1,alpha_best_2,alpha_best_3,mse_w_S,mse_T,mse_S
1.8786845388504856,0.8459795302058626,2.0625393510560954,3.672617006179569,3.6444976516195267,6.768494214595877
0.0001293506854590262,0.8841317892583602,2.1019599639542825,3.4930990250564737,3.4926109382852406,5.971987066405936
0.0031364945910226563,0.9530687702103833,2.094273860836684,3.6040069556140795,3.5314015240181753,6.325109536887478
0.00022463784356887033,0.966138032778719,2.054511990311079,3.7698435446507412,3.728661693162643,5.925995612931512
1.3173094902168498,1.0325096793588333,1.9257763240429395,3.658954884783752,3.6589420438026132,6.274835500634099
8.511643154264937e-05,0.9477689776235905,2.0519777433650366,3.751623990562027,3.752736627763244,6.61927221680092
0.0003672492513738128,1.1125976869849263,1.9321120806746386,4.4970774977947565,4.437296074580432,7.114833916990041
0.695524751290649,1.0836334043454419,1.9789406418634203,3.7594486789699864,3.6330661843242296,6.063916840513084
5.660281555380136e-06,0.9886323553601062,2.061917069075392,3.584366065921482,3.586530036463452,6.60686421884664
1.8744882645689502,1.047894742885508,1.9159466936395495,3.9909631928917917,3.944631159978678,7.598939609105569
5.187196433977361e-05,0.8667739476630131,2.0801775215691416,3.967564947545217,3.92979712942709,6.615486910635674
2.343068425595269,1.1022057953330067,1.8529573345850552,3.996777265037913,3.9807100973354044,6.769072395939581
0.00020306520511705257,0.8835265100420013,2.121132595132603,4.4784603095361035,4.377901568446878,7.2864414440507055
3.105361390393181,1.0286670551545267,1.7885779992233781,3.670519045936262,3.529062552702725,5.261694209533711
0.6189736606466328,1.0268786988438503,2.011865504324099,4.092270830934309,4.055293329032229,6.546086498688953
0.0017488829510627826,1.0633999383741575,1.963905430369966,3.5670696647968745,3.505586350452265,5.550050705076624
2.19687476416885e-05,0.9831911724673852,2.0997326299349917,3.5709184944233887,3.578710709551155,5.562451311307814
3.540688615845969,1.0090536638993437,1.754920917817658,3.9628849948260996,3.977879168510956,6.3600283291450666
2.472049959280886,1.1327314065198755,1.7924030313362285,4.466032235496497,4.400179847191562,6.171106668710298
2.184539588387446,1.0142060058200055,1.8563998927652672,3.713730686123137,3.695251287079932,5.974352075019157
1.0128862788629618,0.9650261930120374,2.0367468757589555,3.4124362145787392,3.3953591798727887,5.86178278000857
0.19665694383883892,1.0897380668329628,1.9763057803518145,4.066264919344955,4.055170363956003,7.187536465774656
3.4136609525986256e-05,1.0454902884018527,2.023082363342813,4.656261768203242,4.518498735926086,7.786264023112033
3.0787039192625167,1.0219783722844098,1.808130166742205,3.4053781769385396,3.4660475328739357,5.183123858002137
9.08048988905747e-05,0.9503717068267348,2.1110700508647344,3.2803289695618494,3.3342412056761224,5.740270821284601
0.00010494244631793098,1.083824805894427,1.9792615538585303,4.5100806768220245,4.331475130887843,6.702824845143096
0.7478410016729471,0.9668275001342959,2.021872644222321,3.406434339517162,3.2485452502160252,5.740784611140505
1.092755746309544,1.0259436579006205,1.9845149186160917,4.032384601905666,3.9872163422293943,6.722323986071246
2.4889208386733324,1.0423934112918205,1.8574457423101172,3.6775471870160628,3.6921847455815744,6.333980123897029
0.00028005994386899515,1.0491336935207183,1.980731635763023,4.765144202062681,4.8206375385879205,7.1900465765554
0.0003751921399645678,0.9986521948021881,2.00516349445226,4.0489524719568575,4.028930456552507,6.723644615541325
1.77934351131854,0.9558797083458267,2.0182265377044253,4.180395909138264,4.113305652095971,7.46059044834913
6.43529700974395e-05,0.8487751107528284,2.0929800407608212,3.9644871988970385,3.9066553421146892,6.090167845462558
0.6146632771364475,1.0324060528181256,2.0059945624812543,3.8295119733798892,3.806884452642896,6.553372158351693
1.2780854676829239,1.060742442912822,1.9769969047760694,3.772909297176345,3.737180479581709,6.766228830389208
1.22989646765109,0.9950008823929996,1.9822155734798799,4.34576121411111,4.225916348413637,7.31810964125076
0.38095543756046557,1.1364720804716415,1.8935378586486142,3.5349986155120767,3.537353080735989,6.032047732791714
