alpha_best_1,alpha_best_2,alpha_best_3,mse_w_S,mse_T,mse_S
1.8773628720744313,0.8385831775587435,2.067521354820196,2.081597887841654,1.5970785786061192,4.24015612014923
1.1977256638158138,1.0327458574746726,1.974757518315301,1.234143712870291,1.0524738421616227,1.9795301536267247
0.9734637763753077,1.0113504003836626,1.962045552251183,0.9587489196520044,0.9595982905636963,1.7525149800333237
1.8174411848597267,1.0802910834905448,1.8874095769069363,1.311991346621941,1.0417050170704114,2.4036251240078617
1.0002909208811596e-09,0.945132975274385,2.0979534639511352,1.0995540666461217,1.0514083008621078,3.4280473789450516
1.5868933770901505,1.0851134452669489,1.9049214865321265,1.4010652327729072,1.0112591099192885,2.4238866504776144
1.9780723848718873,1.0102791863145073,1.948799871380641,3.2495723672836023,2.4371708208565903,4.909163891613656
2.0528239021437087,1.0231568088509262,1.9452329050731945,1.3853084921699619,1.1603734882472891,2.8695911211613585
1.0884031662839582,0.9894195082939576,1.9810702300121352,1.2148797234040762,1.0232575825880197,2.0544357020088735
1.0479848504665922e-06,1.0839421258933961,1.9912297891264483,1.8519565502072832,1.202198285286831,3.5277547926783455
2.16557378258997,1.0827051070273304,1.8576647956087295,1.0219510960505827,0.9753015313152861,1.6211266169755136
7.396540509953644e-07,0.8909763408023906,2.103355603130959,1.066639500151709,0.9862450306448559,1.846356601131163
8.313119794890072e-06,0.8848638861707112,2.0950216618355757,1.0515004870656475,1.171959841995807,2.7688920373805224
2.517095930213154,0.9413121860193495,1.9623063594010224,1.1635758126082323,1.1087687890423674,2.414582850836778
5.960463630587864e-06,0.982244234402546,2.067061560789237,2.11523123639562,1.4346618773959912,3.8390521962854125
2.016550584120281,0.9121440598131061,1.9823990317959093,1.0209083869957865,0.9316715547400197,1.9321463294945729
8.046568946084415e-06,1.0060167808992315,2.0281590500346898,1.2504523353148678,1.1991117096850692,2.1892174244714044
1.7703602145924169,0.9862613901861041,1.9441991564515766,1.311366240081492,1.0994116193533063,2.4335827672556207
2.1151905583011303,1.011041611848251,1.9218962519600256,1.4113080627755679,1.1385825656670907,3.3437363679658545
1.2113412344041626e-06,1.0562325511358586,2.0370802196416875,1.3681857255263061,1.1656096088230643,2.943162111975447
0.5597870434327811,1.06050577922848,1.9933629642489215,1.8131843037864122,1.1136839651401949,3.3095520793197113
1.299648239910498,0.9943011409351886,2.031289710727487,1.850379033238824,1.317499804417591,2.94220111049616
0.7094727940689805,1.0141970411587837,1.981379710585121,1.1196342424269536,1.1098198547286915,2.0011750366386387
0.8379041998974128,1.0017496750126254,2.0065752529281884,1.450513682263199,1.2128633051305209,3.6095341167088373
2.434895201105719,0.9749425203850047,1.9487963018723489,2.003825529251513,1.4470239254415669,2.529804083727892
4.270943548484148e-06,0.9687014623691805,2.073179588792229,1.267820210731338,1.171079127154424,2.672861820578127
1.778241312935307,0.9703765890687341,1.9613167901351767,1.6145738772458302,1.3196739296967848,2.9998185273935634
0.5732149478378671,0.9503566750027723,2.0512581822707916,1.2892091950144482,1.258502810932714,1.9845999752844874
0.9781678303802465,0.8639310872786713,2.085307195467731,1.3191377897045669,1.2859985206707694,2.232199886877152
2.0514183465053546,0.94621827411228,1.9795994532332482,1.4096234113071668,1.4925193332626814,3.5459792068843807
1.314493034725082,0.9791781237104478,1.9897851449432942,1.5427295135457193,1.1484428915048488,2.402563510917572
1.974779460164034,1.0229787982763732,1.9260768460031437,1.0898011418070508,0.9985273198253621,2.716717092863717
5.831729307432729e-06,0.9755780951262318,2.069126799619907,1.3055478366126183,1.1151956596874826,3.0674134894123313
1.8578432939601267e-06,0.9096191662091858,2.1234002207082274,1.359331730805577,1.0388934379142694,2.861705274652063
